dataset,video_key,method,fscore,selected_ratio,adaptive_semantic_weight
TVSum,video_19,Visual-BiLSTM-Strict,0.5200219097812211,0.1497735980494601,0.709776110317172
TVSum,video_19,CLIP-only,0.6663862175681855,0.148380355276907,0.709776110317172
TVSum,video_19,Fixed-Fusion,0.6565142270710843,0.1497735980494601,0.709776110317172
TVSum,video_19,Ours-Adaptive,0.6565142270710843,0.1497735980494601,0.709776110317172
TVSum,video_20,Visual-BiLSTM-Strict,0.6516140951345077,0.14869411953212627,0.5019690824801689
TVSum,video_20,CLIP-only,0.5832435383362002,0.14997596539016184,0.5019690824801689
TVSum,video_20,Fixed-Fusion,0.6703318354131356,0.14997596539016184,0.5019690824801689
TVSum,video_20,Ours-Adaptive,0.6516140951345077,0.14869411953212627,0.5019690824801689
TVSum,video_21,Visual-BiLSTM-Strict,0.5478956724842262,0.14979903122745541,0.4445585095642851
TVSum,video_21,CLIP-only,0.47568333174037025,0.14985056168195404,0.4445585095642851
TVSum,video_21,Fixed-Fusion,0.4961481749466171,0.14995362259095124,0.4445585095642851
TVSum,video_21,Ours-Adaptive,0.4958824419294314,0.1495413789549624,0.4445585095642851
TVSum,video_22,Visual-BiLSTM-Strict,0.5981331975952018,0.1494435612082671,0.4379583713611162
TVSum,video_22,CLIP-only,0.5564132024861606,0.1497968556792086,0.4379583713611162
TVSum,video_22,Fixed-Fusion,0.5564132024861606,0.1497968556792086,0.4379583713611162
TVSum,video_22,Ours-Adaptive,0.5702240388636818,0.1483836777954425,0.4379583713611162
TVSum,video_23,Visual-BiLSTM-Strict,0.4354827310401806,0.1495293908719588,0.5242921568772054
TVSum,video_23,CLIP-only,0.48721896647014995,0.14970697922216303,0.5242921568772054
TVSum,video_23,Fixed-Fusion,0.5198916807827669,0.1495293908719588,0.5242921568772054
TVSum,video_23,Ours-Adaptive,0.4605284934527303,0.1495293908719588,0.5242921568772054
TVSum,video_24,Visual-BiLSTM-Strict,0.6235186082874313,0.14921946740128558,0.592451075613515
TVSum,video_24,CLIP-only,0.5202927659649441,0.14898989898989898,0.592451075613515
TVSum,video_24,Fixed-Fusion,0.6151358729024332,0.1487603305785124,0.592451075613515
TVSum,video_24,Ours-Adaptive,0.6151358729024332,0.1487603305785124,0.592451075613515
TVSum,video_25,Visual-BiLSTM-Strict,0.5227689005716224,0.14908814589665653,0.5760734191394297
TVSum,video_25,CLIP-only,0.4990107675898895,0.15,0.5760734191394297
TVSum,video_25,Fixed-Fusion,0.4990107675898895,0.15,0.5760734191394297
TVSum,video_25,Ours-Adaptive,0.48969483294855304,0.14908814589665653,0.5760734191394297
TVSum,video_26,Visual-BiLSTM-Strict,0.5363653677948719,0.14190821256038647,0.5580327519537407
TVSum,video_26,CLIP-only,0.6228742979754074,0.14522946859903382,0.5580327519537407
TVSum,video_26,Fixed-Fusion,0.6444574970951471,0.14281400966183574,0.5580327519537407
TVSum,video_26,Ours-Adaptive,0.6444574970951471,0.14281400966183574,0.5580327519537407
TVSum,video_27,Visual-BiLSTM-Strict,0.5499316934303903,0.14958321883301273,0.5373670469697138
TVSum,video_27,CLIP-only,0.4992800329354316,0.14912521755060915,0.5373670469697138
TVSum,video_27,Fixed-Fusion,0.4912433608648188,0.1489420170376477,0.5373670469697138
TVSum,video_27,Ours-Adaptive,0.5189095059851754,0.1498580196024549,0.5373670469697138
TVSum,video_28,Visual-BiLSTM-Strict,0.4835616769351348,0.1498611278831059,0.4846156910084699
TVSum,video_28,CLIP-only,0.6253593246936318,0.1499818862456225,0.4846156910084699
TVSum,video_28,Fixed-Fusion,0.5807406414662768,0.14937809443303948,0.4846156910084699
TVSum,video_28,Ours-Adaptive,0.5906887810143073,0.14949885279555608,0.4846156910084699
TVSum,video_29,Visual-BiLSTM-Strict,0.5410610358239997,0.14988303759913277,0.5645770918474237
TVSum,video_29,CLIP-only,0.5672554019988162,0.14988303759913277,0.5645770918474237
TVSum,video_29,Fixed-Fusion,0.5773729099380244,0.14999714725851543,0.5645770918474237
TVSum,video_29,Ours-Adaptive,0.5899715824580414,0.14999714725851543,0.5645770918474237
TVSum,video_30,Visual-BiLSTM-Strict,0.5557528251705011,0.14581772784019975,0.4437849978952043
TVSum,video_30,CLIP-only,0.5557041729539258,0.14856429463171036,0.4437849978952043
TVSum,video_30,Fixed-Fusion,0.5589006585654207,0.14357053682896379,0.4437849978952043
TVSum,video_30,Ours-Adaptive,0.536067272608058,0.14506866416978775,0.4437849978952043
TVSum,video_31,Visual-BiLSTM-Strict,0.6686627139427408,0.1498521803399852,0.38791059682219575
TVSum,video_31,CLIP-only,0.6823120363043433,0.1457871396895787,0.38791059682219575
TVSum,video_31,Fixed-Fusion,0.6686627139427408,0.1498521803399852,0.38791059682219575
TVSum,video_31,Ours-Adaptive,0.6686627139427408,0.1498521803399852,0.38791059682219575
TVSum,video_32,Visual-BiLSTM-Strict,0.673088511104464,0.14860599684376644,0.6148645730954223
TVSum,video_32,CLIP-only,0.5754797676654823,0.14834297738032615,0.6148645730954223
TVSum,video_32,Fixed-Fusion,0.673088511104464,0.14860599684376644,0.6148645730954223
TVSum,video_32,Ours-Adaptive,0.673088511104464,0.14860599684376644,0.6148645730954223
TVSum,video_33,Visual-BiLSTM-Strict,0.6352954573910221,0.1494949494949495,0.672042520501412
TVSum,video_33,CLIP-only,0.658563690115761,0.14986906098017208,0.672042520501412
TVSum,video_33,Fixed-Fusion,0.6479838880333261,0.1499438832772166,0.672042520501412
TVSum,video_33,Ours-Adaptive,0.6479838880333261,0.1499438832772166,0.672042520501412
TVSum,video_34,Visual-BiLSTM-Strict,0.59290019097386,0.14898785425101216,0.6030744271306696
TVSum,video_34,CLIP-only,0.6140149885398174,0.14790823211875845,0.6030744271306696
TVSum,video_34,Fixed-Fusion,0.6140149885398174,0.14790823211875845,0.6030744271306696
TVSum,video_34,Ours-Adaptive,0.6140149885398174,0.14790823211875845,0.6030744271306696
TVSum,video_35,Visual-BiLSTM-Strict,0.5141993394139235,0.14877884830831278,0.5884966476514921
TVSum,video_35,CLIP-only,0.7288106960079639,0.14989917096123684,0.5884966476514921
TVSum,video_35,Fixed-Fusion,0.7288106960079639,0.14989917096123684,0.5884966476514921
TVSum,video_35,Ours-Adaptive,0.7288106960079639,0.14989917096123684,0.5884966476514921
TVSum,video_36,Visual-BiLSTM-Strict,0.6438323368431569,0.14838547556225656,0.47412589063214194
TVSum,video_36,CLIP-only,0.6572163410417865,0.14951627088830255,0.47412589063214194
TVSum,video_36,Fixed-Fusion,0.6572163410417865,0.14951627088830255,0.47412589063214194
TVSum,video_36,Ours-Adaptive,0.6572163410417865,0.14951627088830255,0.47412589063214194
TVSum,video_37,Visual-BiLSTM-Strict,0.38088144535071444,0.14766774756797207,0.5268059053726863
TVSum,video_37,CLIP-only,0.4753922168378651,0.14666999251683713,0.5268059053726863
TVSum,video_37,Fixed-Fusion,0.4763238293930395,0.1459216762284859,0.5268059053726863
TVSum,video_37,Ours-Adaptive,0.45975920146789173,0.14567223746570218,0.5268059053726863
TVSum,video_38,Visual-BiLSTM-Strict,0.43602932753157725,0.14960897653859231,0.5714387132746087
TVSum,video_38,CLIP-only,0.5195210940218141,0.1499489969398164,0.5714387132746087
TVSum,video_38,Fixed-Fusion,0.5195210940218141,0.1499489969398164,0.5714387132746087
TVSum,video_38,Ours-Adaptive,0.3459236175702279,0.14892893573614416,0.5714387132746087
TVSum,video_39,Visual-BiLSTM-Strict,0.5688943099728015,0.14861944777911165,0.46616212303184174
TVSum,video_39,CLIP-only,0.5565730616190565,0.14741896758703482,0.46616212303184174
TVSum,video_39,Fixed-Fusion,0.5584595416457191,0.14981992797118848,0.46616212303184174
TVSum,video_39,Ours-Adaptive,0.5994065486175113,0.14645858343337334,0.46616212303184174
TVSum,video_40,Visual-BiLSTM-Strict,0.5528222096539953,0.14946556859996496,0.5724889862908279
TVSum,video_40,CLIP-only,0.5526917876326228,0.14999123882950763,0.5724889862908279
TVSum,video_40,Fixed-Fusion,0.5644193596542546,0.14990362712458385,0.5724889862908279
TVSum,video_40,Ours-Adaptive,0.5644193596542546,0.14990362712458385,0.5724889862908279
TVSum,video_41,Visual-BiLSTM-Strict,0.8115568017092712,0.14926297534993188,0.35561230693897977
TVSum,video_41,CLIP-only,0.8131020324807879,0.14876749659358354,0.35561230693897977
TVSum,video_41,Fixed-Fusion,0.8074042935165473,0.1496345844171931,0.35561230693897977
TVSum,video_41,Ours-Adaptive,0.780534115518758,0.1497584541062802,0.35561230693897977
TVSum,video_42,Visual-BiLSTM-Strict,0.5819989929750656,0.14968849974743223,0.4053564612422994
TVSum,video_42,CLIP-only,0.5798737168948244,0.14901498568782623,0.4053564612422994
TVSum,video_42,Fixed-Fusion,0.5798737168948244,0.14901498568782623,0.4053564612422994
TVSum,video_42,Ours-Adaptive,0.5798737168948244,0.14901498568782623,0.4053564612422994
TVSum,video_43,Visual-BiLSTM-Strict,0.6782164435616942,0.14844859054958426,0.5230915057005419
TVSum,video_43,CLIP-only,0.6782164435616942,0.14844859054958426,0.5230915057005419
TVSum,video_43,Fixed-Fusion,0.6782164435616942,0.14844859054958426,0.5230915057005419
TVSum,video_43,Ours-Adaptive,0.6782164435616942,0.14844859054958426,0.5230915057005419
TVSum,video_44,Visual-BiLSTM-Strict,0.7138765905462091,0.14776951672862454,0.6465186969394814
TVSum,video_44,CLIP-only,0.7278867898221103,0.1449814126394052,0.6465186969394814
TVSum,video_44,Fixed-Fusion,0.7138765905462091,0.14776951672862454,0.6465186969394814
TVSum,video_44,Ours-Adaptive,0.7138765905462091,0.14776951672862454,0.6465186969394814
TVSum,video_45,Visual-BiLSTM-Strict,0.726913058487536,0.1464,0.387169083107368
TVSum,video_45,CLIP-only,0.726913058487536,0.1464,0.387169083107368
TVSum,video_45,Fixed-Fusion,0.726913058487536,0.1464,0.387169083107368
TVSum,video_45,Ours-Adaptive,0.6852673245539946,0.1472,0.387169083107368
TVSum,video_46,Visual-BiLSTM-Strict,0.5806902573988945,0.1499967335206115,0.5708575315496371
TVSum,video_46,CLIP-only,0.5684923586902727,0.1497354151695303,0.5708575315496371
TVSum,video_46,Fixed-Fusion,0.576533702853786,0.14986607434507088,0.5708575315496371
TVSum,video_46,Ours-Adaptive,0.576533702853786,0.14986607434507088,0.5708575315496371
TVSum,video_47,Visual-BiLSTM-Strict,0.4926477834610769,0.1451476793248945,0.5636896605802351
TVSum,video_47,CLIP-only,0.49488901221993736,0.14556962025316456,0.5636896605802351
TVSum,video_47,Fixed-Fusion,0.49563706901052085,0.1449367088607595,0.5636896605802351
TVSum,video_47,Ours-Adaptive,0.517891372175271,0.14345991561181434,0.5636896605802351
TVSum,video_48,Visual-BiLSTM-Strict,0.4002972612479379,0.14835728952772073,0.573771846003936
TVSum,video_48,CLIP-only,0.43388237741646246,0.14989733059548255,0.573771846003936
TVSum,video_48,Fixed-Fusion,0.40798135835870114,0.14681724845995894,0.573771846003936
TVSum,video_48,Ours-Adaptive,0.40798135835870114,0.14681724845995894,0.573771846003936
TVSum,video_49,Visual-BiLSTM-Strict,0.630799078986296,0.14821637916596886,0.5096117189742796
