dataset,video_key,setting,fscore
TVSum,video_19,fixed_alpha_1.0,0.6663862175681855
TVSum,video_19,adaptive_strength_0.0,0.6663862175681855
TVSum,video_19,adaptive_strength_0.1,0.6663862175681855
TVSum,video_19,adaptive_strength_0.2,0.6663862175681855
TVSum,video_19,adaptive_strength_0.3,0.6663862175681855
TVSum,video_19,adaptive_strength_0.4,0.6663862175681855
TVSum,video_19,adaptive_strength_0.5,0.6644275921327495
TVSum,video_19,adaptive_strength_0.6,0.6644275921327495
TVSum,video_19,adaptive_strength_0.7,0.6644275921327495
TVSum,video_19,adaptive_strength_0.8,0.6644275921327495
TVSum,video_19,adaptive_strength_0.9,0.6644275921327495
TVSum,video_19,adaptive_strength_1.0,0.6675836539590188
TVSum,video_20,fixed_alpha_0.0,0.49959834231520694
TVSum,video_20,fixed_alpha_0.1,0.5605563075479856
TVSum,video_20,fixed_alpha_0.2,0.6181224553043336
TVSum,video_20,fixed_alpha_0.3,0.6642376088786346
TVSum,video_20,fixed_alpha_0.4,0.6642376088786346
TVSum,video_20,fixed_alpha_0.5,0.6642376088786346
TVSum,video_20,fixed_alpha_0.6,0.6642376088786346
TVSum,video_20,fixed_alpha_0.7,0.6564931779985527
TVSum,video_20,fixed_alpha_0.8,0.6564931779985527
TVSum,video_20,fixed_alpha_0.9,0.6564931779985527
TVSum,video_20,fixed_alpha_1.0,0.5832435383362002
TVSum,video_20,adaptive_strength_0.0,0.6564931779985527
TVSum,video_20,adaptive_strength_0.1,0.6564931779985527
TVSum,video_20,adaptive_strength_0.2,0.6564931779985527
TVSum,video_20,adaptive_strength_0.3,0.6564931779985527
TVSum,video_20,adaptive_strength_0.4,0.6564931779985527
TVSum,video_20,adaptive_strength_0.5,0.6564931779985527
TVSum,video_20,adaptive_strength_0.6,0.6564931779985527
TVSum,video_20,adaptive_strength_0.7,0.6564931779985527
TVSum,video_20,adaptive_strength_0.8,0.6564931779985527
TVSum,video_20,adaptive_strength_0.9,0.6564931779985527
TVSum,video_20,adaptive_strength_1.0,0.6564931779985527
TVSum,video_21,fixed_alpha_0.0,0.48937241968321105
