video,query_id,method,true_or,wrong_mean_or,margin_or,discrimination_auc_or,true_and,wrong_mean_and,margin_and,discrimination_auc_and
P01,Grass_Shoes,Concept-Adapter-MMR,0.16363636363636364,0.278099173553719,-0.11446280991735536,0.5909090909090909,0.0,0.031818181818181815,-0.031818181818181815,0.4659090909090909
P01,Grass_Student,Uniform,0.01818181818181818,0.21363636363636365,-0.19545454545454546,0.056818181818181816,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Grass_Student,Visual-BiLSTM,0.05454545454545454,0.19214876033057848,-0.13760330578512395,0.11363636363636363,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Grass_Student,CLIP-zero-shot,0.01818181818181818,0.2144628099173554,-0.1962809917355372,0.07954545454545454,0.0,0.030578512396694214,-0.030578512396694214,0.32954545454545453
P01,Grass_Student,Concept-Adapter-MMR,0.05454545454545454,0.25206611570247933,-0.1975206611570248,0.18181818181818182,0.0,0.0256198347107438,-0.0256198347107438,0.3977272727272727
P01,Hall_Garden,Uniform,0.05454545454545454,0.21280991735537189,-0.15826446280991735,0.2159090909090909,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Hall_Garden,Visual-BiLSTM,0.07272727272727272,0.19173553719008263,-0.1190082644628099,0.1590909090909091,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Hall_Garden,CLIP-zero-shot,0.3090909090909091,0.19173553719008266,0.11735537190082643,0.7840909090909091,0.0,0.01652892561983471,-0.01652892561983471,0.36363636363636365
P01,Hall_Garden,Concept-Adapter-MMR,0.34545454545454546,0.20661157024793386,0.1388429752066116,0.8181818181818182,0.0,0.01900826446280992,-0.01900826446280992,0.38636363636363635
P01,Hands_Men,Uniform,0.7636363636363637,0.19669421487603306,0.5669421487603306,1.0,0.2909090909090909,0.030165289256198345,0.26074380165289257,0.9772727272727273
P01,Hands_Men,Visual-BiLSTM,0.6909090909090909,0.17768595041322316,0.5132231404958678,1.0,0.10909090909090909,0.01322314049586777,0.09586776859504131,0.9659090909090909
